Team,Total_Tackles,Tackles_Won,Defensive_Third_Tackles,Midfield_Third_Tackles,Attacking_Third_Tackles,Tackles_Won_vs_Dribbles,Dribble_Attempts,Dribble_Tackle_Success_Rate,Times_Dribble_Past_No_Tackle,Total_Pressures,Successful_Pressures,PressRt,Defensive_Third_Pressures,Midfield_Third_Pressures,Attacking_Third_Pressures,TotBlocBal,ShBlocBall,ShSvBloc,PassBlock,Interceptions,TklpInt,Clear,Errors_Leading_to_Shots,SCAT,SCA90,PassLiveSCA,PassDeadSCA,DribSCA,ShSCA,FldSCA,DefSCA,GCAT,GCA90,PassLiveGCA,PassDeadGCA,DribGCA,ShGCA,FldGCA,DefGCA,RkLeag,MP,W,D,L,GF,GA,GD,Pts,xG_def,xGA,xGD,xGD/90,Attendance,CmpTot,AttTot,TotCmpRt,Total_Carry_Distance,PrgDist,CmpSh,AttSh,CmpShRt,CmpMed,AttMed,CmpMedRt,CmpLng,AttLng,CmpLngRt,Assists,Expected_Assists,AmxA,Key_Passes,1-Mar,PPA,CrsPA,ProgPs,Poss_def,TotTouc,DefPenTouc,Def3rdTouc,Mid3rdTouc,Att3rdTouc,AttPenTouc,LiveTouc,SuccDrib,AttDrib,SuccDribRt,Megs,TotCarr,TotDistCarr,PrgDistCarr,ProgCarr,1/3Carr,CPA,MisCarr,DisCarr,TargRec,SucRec,RecRt,ProgRec,Goals,Sh,Shots_on_Target,SoTRt,Shd90,SoTd90,GdSh,GdSoT,Dist,FK,PK,PKatt,xG_shot,Non_Penalty_Expected_Goals,npxGdSh,GmxG,npGmxG,Age,Poss_std,PerGls,PerAst,PerGmPK,PerPK,PerPKatt,Yellow_Cards,Red_Cards,Per90Gls,Per90Ast,PerGpA,PerGmPK.1,PerGpAmPK,Total_xG,Total_NonPenalty_xG,Total_xA,Total_NonPenalty_xG_plus_xA,xG_per_90,xA_per_90,xG_plus_xA_per_90,NonPenalty_xG_per_90,NonPenalty_xG_plus_xA_per_90
Atalanta,695,426,285,300,110,257,612,42.0,355,5606,1812,32.3,1579,2594,1433,599,112,3,487,557,1252,579,3,958,25.21,704,88,57,66,30,13,103,2.71,81,2,8,8,3,1,8,38,16,11,11,65,48,17,59,66.2,45.2,20.9,0.55,10047,17273,21214,81.4,322984,105330,7417,8404,88.3,7337,8457,86.8,2171,3504,62.0,48,49.2,-1.2,465,1242,448,87,1601,55.1,25821,2064,7180,12228,8051,1291,24018,354,668,53.0,30,17087,88000,45197,1963,611,238,539,492,19604,17273,88.1,1601,62,597,168,28.1,15.71,4.42,0.1,0.34,15.8,15,5,6,66.2,61.8,0.1,-4.2,-4.8,27.5,55.1,62,48,57,5,6,87,2,1.63,1.26,2.89,1.5,2.76,66.2,61.8,49.2,111.1,1.74,1.3,3.04,1.63,2.92
Bologna,592,346,297,215,80,206,530,38.9,324,5408,1566,29.0,2013,2222,1173,568,152,2,416,527,1119,697,7,713,18.76,552,60,29,33,28,11,74,1.95,57,5,4,4,3,1,13,38,12,10,16,44,55,-11,46,44.1,54.2,-10.1,-0.27,13845,14594,18234,80.0,276343,97373,6285,7145,88.0,5878,6873,85.5,2090,3435,60.8,34,31.4,2.6,341,958,312,100,1120,50.7,22401,2822,7886,10548,5307,717,20548,315,576,54.7,28,13961,71591,36030,1385,453,105,488,349,17023,14594,85.7,1120,43,442,142,32.1,11.63,3.74,0.09,0.27,17.3,14,4,5,44.1,40.4,0.09,-1.1,-1.4,26.6,50.7,43,34,39,4,5,92,7,1.13,0.89,2.03,1.03,1.92,44.1,40.4,31.4,71.8,1.16,0.83,1.99,1.06,1.89
Cagliari,602,365,284,242,76,181,508,35.6,327,5374,1528,28.4,1831,2360,1183,583,145,0,438,620,1222,717,3,635,16.71,444,75,19,48,29,20,56,1.47,38,4,3,5,4,2,18,38,6,12,20,34,68,-34,30,39.5,61.5,-22.0,-0.58,9400,11661,15791,73.8,244944,89434,4249,5067,83.9,4975,6114,81.4,2205,3950,55.8,26,27.9,-1.9,304,798,238,85,915,44.4,19939,2616,7159,9206,4681,709,18034,227,412,55.1,18,11432,59882,31031,1135,384,89,460,361,14159,11661,82.4,915,34,419,112,26.7,11.03,2.95,0.07,0.28,16.3,17,3,4,39.5,36.8,0.09,-5.5,-5.8,26.5,44.4,34,26,31,3,4,96,5,0.89,0.68,1.58,0.82,1.5,39.5,36.8,27.9,64.7,1.04,0.73,1.77,0.97,1.7
Empoli,675,425,332,246,97,222,548,40.5,326,5870,1635,27.9,2019,2483,1368,596,195,8,401,544,1219,769,4,735,19.34,559,60,26,33,34,23,72,1.89,52,4,4,6,6,0,14,38,10,11,17,50,70,-20,41,46.6,67.8,-21.2,-0.56,6320,12942,16638,77.8,253642,94709,5096,5820,87.6,5769,6798,84.9,1876,3329,56.4,27,29.0,-2.0,342,931,360,80,1271,47.1,21081,3051,7628,9198,5700,919,19160,236,494,47.8,23,12916,74232,40774,1462,476,129,449,456,15342,12942,84.4,1271,47,495,153,30.9,13.03,4.03,0.08,0.26,17.7,16,7,7,46.6,41.3,0.08,0.4,-1.3,24.5,47.1,47,27,40,7,7,87,5,1.24,0.71,1.95,1.05,1.76,46.6,41.3,29.0,70.3,1.23,0.76,1.99,1.09,1.85
Fiorentina,554,334,253,219,82,229,526,43.5,297,5044,1558,30.9,1324,2298,1422,455,101,1,354,480,1034,385,13,832,21.89,594,80,30,51,58,19,92,2.42,59,4,4,12,11,2,7,38,19,5,14,59,51,8,62,58.8,44.1,14.7,0.39,19801,17554,20926,83.9,376823,112138,5713,6439,88.7,8322,9286,89.6,3318,4589,72.3,33,37.1,-4.1,378,1129,358,105,1267,58.2,24774,2725,8566,11730,6201,1031,22977,284,527,53.9,34,16737,88693,46950,1733,585,193,476,396,19963,17554,87.9,1267,59,502,175,34.9,13.21,4.61,0.1,0.29,16.5,25,9,12,58.8,49.8,0.1,0.2,0.2,26.4,58.2,59,33,50,9,12,89,8,1.55,0.87,2.42,1.32,2.18,58.8,49.8,37.1,86.9,1.55,0.98,2.52,1.31,2.29
Genoa,806,489,355,320,131,336,724,46.4,388,6405,1981,30.9,2063,2837,1505,731,154,0,577,657,1463,732,8,593,15.61,410,67,31,31,36,18,48,1.26,34,4,2,1,5,2,19,38,4,16,18,27,60,-33,28,37.8,51.6,-13.8,-0.36,11628,11422,15650,73.0,224357,84958,4693,5579,84.1,4724,5915,79.9,1764,3413,51.7,19,25.2,-6.2,276,773,209,65,1022,43.9,20485,2567,7239,9585,4720,771,18630,285,552,51.6,29,11388,56430,29273,1158,350,146,559,457,14076,11422,81.1,1022,26,402,107,26.6,10.58,2.82,0.05,0.19,18.0,12,6,7,37.8,32.5,0.08,-11.8,-12.5,27.0,43.9,26,19,20,6,7,92,3,0.68,0.5,1.18,0.53,1.03,37.8,32.5,25.2,57.7,0.99,0.66,1.66,0.85,1.52
Hellas Verona,614,385,300,235,79,203,516,39.3,313,5383,1699,31.6,1829,2368,1186,620,115,3,505,560,1174,897,6,712,18.74,540,57,34,32,30,19,100,2.63,83,3,5,3,5,1,9,38,14,11,13,65,59,6,53,51.8,48.9,2.9,0.08,12343,13280,17377,76.4,255869,93544,5540,6568,84.3,5398,6499,83.1,2010,3497,57.5,44,34.7,9.3,333,988,367,78,1351,50.6,22022,2369,6889,10483,5966,987,20271,291,562,51.8,47,13259,70181,36296,1452,510,178,517,480,15751,13280,84.3,1351,63,456,153,33.6,12.0,4.03,0.12,0.37,16.2,15,7,8,51.8,45.9,0.1,11.2,10.1,26.8,50.6,63,44,56,7,8,100,7,1.66,1.16,2.82,1.47,2.63,51.8,45.9,34.7,80.5,1.36,0.91,2.28,1.21,2.12
Inter,621,402,263,253,105,207,517,40.0,310,4883,1534,31.4,1418,2101,1364,501,127,2,374,462,1083,520,7,1057,27.82,779,100,45,73,36,24,132,3.47,98,12,2,13,6,1,2,38,25,9,4,84,32,52,84,81.4,39.2,42.2,1.11,41407,18505,21830,84.8,358787,113476,7684,8513,90.3,7744,8661,89.4,2714,3853,70.4,57,56.9,0.1,502,1248,478,131,1515,56.6,25816,2874,8611,11769,7122,1294,24239,239,434,55.1,23,17218,91900,47910,1739,575,197,409,347,20564,18505,90.0,1515,83,670,238,35.5,17.63,6.26,0.11,0.32,15.1,13,7,11,81.4,73.5,0.11,1.6,2.5,28.9,56.6,83,57,76,7,11,71,0,2.18,1.5,3.68,2.0,3.5,81.4,73.5,56.9,130.4,2.14,1.5,3.64,1.93,3.43
Juventus,597,380,285,229,83,180,467,38.5,287,5263,1643,31.2,1865,2218,1180,589,154,1,435,508,1105,690,7,834,21.95,629,54,36,45,48,22,91,2.39,67,4,8,7,5,0,4,38,20,10,8,57,37,20,70,51.5,38.0,13.4,0.35,21627,16521,19737,83.7,340375,107199,5820,6607,88.1,7657,8540,89.7,2800,4001,70.0,37,34.9,2.1,381,1190,317,93,1276,51.7,24111,2770,8203,11754,5663,968,22473,290,537,54.0,34,15738,78098,40614,1560,493,181,498,426,18687,16521,88.4,1276,56,522,168,32.2,13.74,4.42,0.1,0.3,16.8,19,5,6,51.5,46.9,0.09,4.5,4.1,27.4,51.7,56,37,51,5,6,77,2,1.47,0.97,2.45,1.34,2.32,51.5,46.9,34.9,81.9,1.35,0.92,2.27,1.24,2.15
Lazio,601,348,264,251,86,219,600,36.5,381,5150,1394,27.1,1501,2319,1330,565,155,3,410,495,1096,598,3,734,19.32,556,54,33,36,39,16,117,3.08,73,10,12,12,8,2,5,38,18,10,10,77,58,19,64,55.8,48.3,7.6,0.2,21235,19694,22970,85.7,352487,110813,9060,9930,91.2,7890,8842,89.2,2288,3343,68.4,48,38.2,9.8,343,1251,332,60,1235,55.6,26981,2789,8676,13603,6343,908,25353,322,620,51.9,36,18488,89501,47778,1785,597,180,426,359,21877,19694,90.0,1235,74,448,185,41.3,11.79,4.87,0.15,0.36,16.5,13,7,9,55.8,49.1,0.11,18.2,17.9,29.0,55.6,74,48,67,7,9,88,5,1.95,1.26,3.21,1.76,3.03,55.8,49.1,38.2,87.3,1.47,1.01,2.48,1.29,2.3
